titles;urls
«Ψηφιακές Συλλογές»;http://www.uoi.gr/gr/help/digital_libraries.php
«Ψηφιακή Βιβλιοθήκη»;http://pc-3.lib.uoi.gr/digital/
«Βάση δεδομένων και μεταδεδομένων-Ψηφιακὴ Βιβλιοθήκη του Εργαστηρίου Ερευνών Νεοελληνικής Φιλοσοφίας»;http://www.kenef.phil.uoi.gr/
«Ιδρυματικό Αποθετήριο του Πανεπιστημίου Θεσσαλίας»;http://ir.lib.uth.gr/?locale-attribute=el
«E-Locus»;http://elocus.lib.uoc.gr/
«Πανεπιστήμιο Κύπρου Διδακτορικές Διατριβές»;http://lekythos.library.ucy.ac.cy/handle/10797/281?locale-attribute=el/
«Ψηφίδα» - Βιβλιοθήκη Νεοελληνικών Σπουδών;https://dspace.lib.uom.gr/
«Νημερτής»;http://nemertes.lis.upatras.gr/jspui/
«Πάνδημος» - Ψηφιακή βιβλιοθήκη;http://pandemos.panteion.gr/
Σπουδαστήριο Νέου Ελληνισμού;http://www.snhell.gr/anthology/writers.asp
Ταινιοθήκη της Ελλάδος Μουσείο Κινηματογράφου - Ψηφιακή συλλογή;http://www.tainiothiki.gr/el/tainiothiki-tis-ellados/profil/
Τεχνικό Επιμελητήριο Ελλάδας - Βιβλιοθήκη;http://portal.tee.gr/portal/page/portal/library
Κατάλογος - Ψηφιακές Συλλογές;http://opac.tee.gr
Υπουργείο Πολιτισμού, Παιδείας & Θρησκευμάτων - Ψηφιακό σχολείο;http://ebooks.edu.gr/2013/
Δελτίον της Χριστιανικής Αρχαιολογικής Εταιρείας;http://ejournals.epublishing.ekt.gr/index.php/deltion/issue/archive/
Ψηφιακή Πλατφόρμα της Κυπριακής Βιβλιοθήκης;http://www.cyprusdigitallibrary.org.cy/
Εκπαιδευτικά Περιοδικά Ανοιχτής Πρόσβασης;http://www.pi-schools.gr/library/pi-lib/hb_ejournals.htm
Ηλεκτρονικά Περιοδικά Νεοελληνικής Λογοτεχνίας και Σελίδες Έντυπων Λογοτεχνικών Περιοδικών;http://www.greek-language.gr/greekLang/literature/guides/net/greek/greek_05.html
Ψηφιοποιημένα περιοδικά: \Νέα Εστία\, \Οδός Πανός\, \Πλανόδιον\, \Περίπλους\, \Το Δέντρο\ και \Η Λέξη\;http://www.ekebi.gr/frontoffice/portal.asp?cpage=node&cnode=488
Πλατφόρμα ηλεκτρονικών επιστημονικών περιοδικών;http://ejournals.epublishing.ekt.gr/
Υπηρεσία Υποστήριξης Διαχείρισης και Έκδοσης Ηλεκτρονικών Επιστημονικών Περιοδικών (Open Journal Systems) Πανεπιστημίου Μακεδονίας;https://ojs.lib.uom.gr/
Σύγχρονη Ελληνική ποίηση;http://genesis.ee.auth.gr/dimakis/poetry.html
Αντί: δεκαπενθήμερη πολιτική επιθεώρηση;http://pandemos.panteion.gr/index.php?lang=el&op=record&pid=cid:486
Αρχαιολογία και Τέχνες;http://www.archaiologia.gr/%CE%B1%CF%81%CF%87%CE%B5%CE%AF%CE%BF-%CF%84%CE%B5%CF%85%CF%87%CF%8E%CE%BD/
Αρχαιολογική Εφημερίς;https://www.archetai.gr/index.php?p=content&section=1&id=21&lang=
Αρχεία Ελληνικής Ιατρικής;http://www.mednet.gr/archives/current-gr.html
Αρχείον Οικονομικών και Κοινωνικών Επιστημών;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:197
Βυζαντινά;http://ejournals.lib.auth.gr/BYZANTINA/issue/archive/
Γλωσσολογία;http://glossologia.phil.uoa.gr/node/114/
Γράμματα και Τέχνες;https://helit.duth.gr/mgcllab-dp1/#1593421365645-4ead6f09-86a0
Δελτίον Βιβλικών Μελετών;http://www.artoszois.gr/index.php/2014-06-30-14-33-19/
Δελτίον της Ελληνικής Γεωλογικής Εταιρίας;http://geolib.geo.auth.gr/index.php/bgsg/issue/archive
Δελτίον Ελληνικής Σπηλαιολογικής Εταιρίας;http://geolib.geo.auth.gr/index.php/bssg/issue/archive
Διαβάζω;http://diavazo.gr/arxeio/?product_type=book
Διαλεκτική: δίμηνη επιθεώρηση θεωρητικού-πολιτικού διαλόγου;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:581
Δοκιμές;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:53
